"","gsms","ages","sex"
"1","GSM755408",45,"M"
"2","GSM755409",55,"F"
"3","GSM755410",54,"M"
"4","GSM755411",52,"M"
"5","GSM755412",58,"M"
"6","GSM755413",18,"M"
"7","GSM755414",30,"M"
"8","GSM755415",48,"M"
"9","GSM755416",27,"M"
"10","GSM755417",26,"M"
"11","GSM755418",28,"M"
"12","GSM755419",39,"M"
"13","GSM755420",50,"F"
"14","GSM755421",44,"M"
"15","GSM755422",49,"F"
"16","GSM755423",36,"M"
"17","GSM755424",44,"M"
"18","GSM755425",45,"M"
"19","GSM755426",43,"M"
"20","GSM755427",23,"M"
"21","GSM755428",28,"M"
"22","GSM755429",52,"M"
"23","GSM755430",39,"M"
"24","GSM755431",49,"M"
"25","GSM755432",46,"F"
"26","GSM755433",24,"M"
"27","GSM755434",67,"M"
"28","GSM755435",32,"M"
"29","GSM755436",40,"M"
"30","GSM755437",37,"M"
"31","GSM755438",27,"M"
"32","GSM755439",52,"M"
"33","GSM755440",38,"M"
"34","GSM755441",42,"M"
"35","GSM755442",44,"M"
"36","GSM755443",20,"M"
"37","GSM755444",66,"M"
"38","GSM755445",44,"M"
"39","GSM755446",33,"F"
"40","GSM755447",32,"F"
"41","GSM755448",34,"F"
"42","GSM755449",46,"F"
"43","GSM755450",23,"F"
"44","GSM755451",39,"F"
"45","GSM755452",46,"M"
"46","GSM755453",22,"M"
"47","GSM755454",29,"M"
"48","GSM755455",55,"F"
"49","GSM755456",25,"F"
"50","GSM755457",53,"F"
"51","GSM755458",27,"M"
"52","GSM755459",44,"F"
"53","GSM755460",40,"F"
"54","GSM755461",50,"F"
"55","GSM755462",21,"M"
"56","GSM755463",40,"M"
"57","GSM755464",41,"F"
"58","GSM755465",24,"M"
"59","GSM755466",25,"F"
"60","GSM755467",22,"M"
"61","GSM755468",59,"F"
"62","GSM755469",60,"M"
"63","GSM755470",25,"M"
"64","GSM755471",27,"M"
"65","GSM755472",59,"F"
"66","GSM755473",21,"M"
"67","GSM755474",22,"F"
"68","GSM755475",19,"F"
"69","GSM755476",46,"F"
"70","GSM755477",29,"M"
"71","GSM755478",53,"F"
"72","GSM755479",65,"M"
"73","GSM755480",27,"M"
"74","GSM755481",46,"F"
"75","GSM755482",25,"F"
"76","GSM755483",42,"M"
"77","GSM755484",29,"F"
"78","GSM755485",46,"F"
"79","GSM755486",48,"M"
"80","GSM755487",43,"M"
